_id,FISCAL_YEAR,CAR_CHC_ID,REFERENCE_NUMBER,SELECTION_PROCESS_NUMBER,CREATION_DATE,OPEN_DATE,CLOSE_DATE,DAYS_TO_OPEN,NUMBER_DAYS_OPEN,INTERNAL_INDICATOR,EXTERNAL_INDICATOR,POSITION_TITLE_E,POSITION_TITLE_F,CLASSIFICATIONS,CLASSIFICATION_COUNT,PSC_ADMIN,NATIONAL,EE_ORGANIZ_GENDER,EE_ORGANIZ_VISMIN,SCRNG_TOOL_OFFICIAL_LANGUAGE,SCRNG_TOOL_SCREENING_QUESTIONS,SCRNG_TOOL_TEXT_QUESTIONS,SCRNG_TOOL_EXP_QUESTIONNAIRE,SCRNG_TOOL_UIT,SCRNG_TOOL_EDUCATION,INDETERMINATE,SPECIFIED_TERM,ACTING,ASSIGNMENT,DEPLOYMENT,SECONDMENT,VARIOUS_WORK_LOCATION,PROV_CNT,CAF_SUBMITTED,CAF_IN,CAF_OUT,NOC,NAPA,NAA,administrator_region_e,administrator_region_f,advertisement_type_e,advertisement_type_f,city_count,city_name_e,city_name_f,organization_e,organization_f,organization_code,advertisement_url_e,advertisement_url_f,recruitment_program_e,recruitment_program_f,province_name_e,province_name_f,psea_e,psea_f,source_system_e,source_system_f,status_e,status_f,ee_criterion_gender,ee_criterion_indigenous,ee_criterion_vismin,ee_criterion_pwd,ee_organiz_pwd,ee_organiz_indigenous,TOTAL_SUBMITTED_SUP,TOTAL_IN_SUP,TOTAL_OUT_SUP,SCRNG_TOOL_OCC_CERT,women_submitted_SUP,vismin_submitted_SUP,indigenous_submitted_SUP,pwd_submitted_SUP,french_submitted_SUP,english_submitted_SUP,citizen_submitted_SUP,permanent_resident_submitted_SUP,ee_submitted_SUP
28,2023-2024,1635671,DND21J-022866-000142,21-DND-EA-CANSOFCOM-473371-1,15JUL2021,15JUL2021,10JUL2023,0,725,0,1,Operational Psychologist / Clinical Psychologist,Psychologue opérationnel / Psychologue clinique,PS04,1,0,1,0,0,1,1, , , , ,1, , , , , ,1,1,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,National Defence,Defense nationale,DND,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1635671&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1635671&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,7,6,*, ,6,*,*,*,*,*,7,*,6
29,2023-2024,1636115,ERG21J-022601-000055,21-ERG-IA-0131,15JUL2021,19JUL2021,18JUL2023,3,729,1,0,Hearing Manager (Inventory),Gestionnaire daudience (constitution dun répertoire),NB11,1,0, ,0,0,1,1, , , , , , ,1, , , ,0,1,0, ,0, , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,1,Calgary,Calgary,Canada Energy Regulator,Regie de l'energie du Canada,ERG,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1636115&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1636115&toggleLanguage=fr,INT,INT,Alberta,Alberta,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
30,2023-2024,1640175,DFO21J-011317-002531,21-DFO-ACCG-EA-CCG-318130,26JUL2021,20SEP2021,19SEP2023,55,729,0,1,Oiler/Engine Room Assistant *Amendment*,Graisseur/Assistant de la salle des machines *Modification*,SCERD03,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640175&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640175&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,19,13,6, ,*,*,*,*,*,*,12,*,
31,2023-2024,1640189,DFO21J-011317-002532,21-DFO-ACCG-EA-CCG-318131,26JUL2021,20SEP2021,19SEP2023,55,729,0,1,Steward  *Amendment*,Intendant  *Modification*,SCSTD01,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640189&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640189&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,30,15,15, ,9,*,*,*,*,*,24,*,16
32,2023-2024,1640228,DFO21J-011317-002533,21-DFO-ACCG-EA-CCG-318132,26JUL2021,20SEP2021,19SEP2023,55,729,0,1,Deckhand/ Leading Deckhand/Lifeboatman  *Amendment*,"Matelot de pont/Matelot de première classe/canotier, flotte de petits navires  *Modification*","SCDED02,SCDED03",2,0,1,0,0,1,1, , , , ,1,1, , , , ,1,4,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,13,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640228&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640228&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,58,30,28, ,9,*,*,*,5,53,51,*,12
33,2023-2024,1640437,DFO21J-011317-002534,21-DFO-ACCG-EA-CCG-318136,27JUL2021,20SEP2021,19SEP2023,54,729,0,1,Engineering Officer  Small Vessel Fleet  *Amendment*,Officier mécanicien  Flotte de petits navires  *Modification*,"SOMAO03,SOMAO05",2,0,1,0,0,1,1, , , , ,1,1, , , , ,1,4,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,14,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640437&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640437&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,13,9,*, ,*,*,*,*,*,*,8,*,
34,2023-2024,1640469,DFO21J-011317-002535,21-DFO-ACCG-EA-CCG-318135,27JUL2021,15SEP2021,14SEP2023,49,729,0,1,Commanding Officer  Small Vessel Fleet  *Amendment*,Commandant  Flotte de petits navires  *Modification*,"SOMAO04,SOMAO06",2,0,1,0,0,1,1, , , , ,1,1, , , , ,1,4,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,14,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640469&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640469&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,22,16,6, ,*,*,*,*,*,*,16,*,
35,2023-2024,1640494,DFO21J-011317-002536,21-DFO-ACCG-EA-CCG-318134,27JUL2021,15SEP2021,14SEP2023,49,729,0,1,Chief Engineer  *Amendment*,Le chef mécanicien  *Modification*,"SOMAO07,SOMAO08,SOMAO09,SOMAO10,SOMAO11,SOMAO12",6,0,1,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0, , , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640494&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640494&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
36,2023-2024,1640634,DFO21J-011317-002537,21-DFO-ACCG-IA-CCG-318187,27JUL2021,01OCT2021,30SEP2023,65,729,1,0,Various Deck Crew Positions  *Amendment*,Divers postes déquipage du pont  *Modification*,"SCDED03,SCDED04,SCDED05,SCDED06",4,0, ,0,0,1,1, , , , ,1,1,1,1, , ,1,2,1,0,1, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640634&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1640634&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,10,6,*, ,*,*,*,*,*,*,10,*,
37,2023-2024,1641498,RCM21J-012511-000780,21-RCM-CEO-P-E-SED-CASUAL-COL-101238,28JUL2021,09AUG2021,07AUG2023,11,728,0,1,Administrative Positions -Inventory for the Southeast area of British Columbia,Postes administratifs - Répertoire pour la région du Sud-Est de la Colombie britannique,"CR04,CR05",2,0,1,0,0,1,1, , , , , ,1, , , , ,1,1,0,0,0, , , ,British Columbia and Yukon,Colombie-Britannique et Yukon,Inventory Advertisement,Affiche de repertoire,42,MULTIPLE,MULTIPLE,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1641498&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1641498&toggleLanguage=fr,JOP,POP,British Columbia,Colombie-Britannique,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,77,67,10, ,56,17,7,5,*,*,53,*,64
38,2023-2024,1642080,DOE21J-020132-000360,21-DOE-NCR-IA-400691,29JUL2021,24AUG2021,31MAR2023,25,584,1,0,PG Inventory for at Level Opportunities @ Environment and Climate Change Canada,Répertoire d'opportunités PG à niveau @ Environnement et Changement climatique Canada,"PG02,PG03,PG04,PG05,PG06",5,0, ,0,0,1,1, , , , , , ,1,1,1, ,1,5,1,1, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,6,MULTIPLE,MULTIPLE,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1642080&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1642080&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
39,2023-2024,1644262,PEN21J-013988-000331,2021-PEN-EA-NAT-168846-ON,04AUG2021,13AUG2021,12AUG2023,8,729,0,1,"Relief Instructor, CORCAN","Instructeur relève, CORCAN",GLMOC07,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,7,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,9,MULTIPLE,MULTIPLE,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1644262&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1644262&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,14,9,5, ,5,5,*,*,*,*,10,*,7
40,2023-2024,1645479,DFO21J-015233-001529,21-DFO-CEN-IA-CCG-318822,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Engine Room Assistant/oiler,RÉPERTOIRE - Assistant mécanicien/matelot salle des machines/graisseur/graisseuse/huileur/huileuse,SCERD03,1,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645479&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645479&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,10,5,5, ,*,*,*,*,*,*,10,*,
41,2023-2024,1645496,DFO21J-015233-001531,21-DFO-CEN-IA-CCG-318841,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Supply Officer SO-MAO-03 / Logistics Officer- SO-MAO-05-06,RÉPERTOIRE - Officier dapprovisionnement SO-MAO-03 / Officier Logistique SO-MAO-05-06,"SOMAO03,SOMAO05,SOMAO06",3,0, ,1,1,1,1, , , , ,1, , , , , ,1,2,0,0, , , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645496&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645496&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,6,6,*, ,*,*,*,*,*,*,6,*,
42,2023-2024,1645516,DFO21J-015233-001533,21-DFO-CEN-IA-CCG-318831,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Commanding Officer - Seasonal Vessel Fleet,RÉPERTOIRE - Commandant flotte saisonnière,SOMAO04,1,0, ,1,1,1,1, , , , ,1, , , , , ,1,2,0,0, , , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645516&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645516&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,11,11,*, ,*,*,*,*,*,*,11,*,
43,2023-2024,1645526,DFO21J-015233-001534,21-DFO-CEN-IA-CCG-318819,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,"INVENTORY - Deckhand, Leading Deckhand","RÉPERTOIRE - Matelot, Matelot première classe","SCDED02,SCDED03",2,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,1,1,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,11,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645526&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645526&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,23,20,*, ,5,*,*,*,15,8,23,*,7
44,2023-2024,1645571,DFO21J-015233-001535,21-DFO-CEN-IA-CCG-318823,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Steward,RÉPERTOIRE - Steward,SCSTD01,1,0, ,0,1,1,1, , , , ,1,1, , , , ,1,2,1,1,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645571&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645571&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,5,*,*, ,*,*,*,*,*,*,5,*,
45,2023-2024,1645611,DFO21J-015233-001536,21-DFO-CEN-IA-CCG-318820,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,"INVENTORY - Winchman, Boatswain","RÉPERTOIRE - Maître d'équipage, Assistant maître d'équipage","SCDED04,SCDED05",2,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,1,0,1, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645611&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645611&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,8,6,*, ,*,*,*,*,*,*,8,*,
46,2023-2024,1645613,DFO21J-015233-001537,21-DFO-CEN-IA-CCG-318826,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,"INVENTORY - Chief Cook, Cook","RÉPERTOIRE - Chef Cuisinier, Cuisinier","SCSTD03,SCSTD04,SCSTD05",3,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645613&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645613&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,5,*,*, ,*,*,*,*,*,*,5,*,
47,2023-2024,1645658,DFO21J-015233-001538,21-DFO-CEN-IA-CCG-318821,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Coxswain,RÉPERTOIRE - Patron dembarcation,"SCDED04,SCDED06,SCDED07",3,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0, , , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645658&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645658&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
48,2023-2024,1645677,DFO21J-015233-001539,21-DFO-CEN-IA-CCG-318827,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Storekeeper,RÉPERTOIRE - Magasinier,SCSTD04,1,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,5,0,5, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645677&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645677&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,13,6,7, ,5,*,*,*,*,*,13,*,8
49,2023-2024,1645686,DFO21J-015233-001540,21-DFO-CEN-IA-CCG-318828,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Navigation Officer,RÉPERTOIRE - Officier de navigation,SOMAO03,1,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,14,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645686&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645686&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,8,7,*, ,*,*,*,*,*,*,8,*,
50,2023-2024,1645692,DFO21J-015233-001541,21-DFO-CEN-IA-CCG-318836,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Engineering Officer,RÉPERTOIRE - Officier mécanicien,SOMAO03,1,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,1,0,1, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,14,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645692&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645692&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
51,2023-2024,1645835,DFO21J-015233-001544,21-DFO-CEN-IA-CCG-318839,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,"INVENTORY - Chief Engineer, 1st Engineer","RÉPERTOIRE - Chef mécanicien, 1er mécanicien",SOMAO05,1,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,12,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645835&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645835&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
52,2023-2024,1645868,DFO21J-015233-001545,21-DFO-CEN-IA-CCG-318829,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,"INVENTORY -  Chief Officer, 1st Officer, 2nd Officer","RÉPERTOIRE - Chef officier, 1er officier, 2ième officier","SOMAO04,SOMAO05",2,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0, , , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,11,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645868&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645868&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,14,14,*, ,*,*,*,*,*,*,14,*,
53,2023-2024,1645879,DFO21J-015233-001546,21-DFO-CEN-IA-CCG-318840,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,"INVENTORY - Chief Engineer, Senior Engineer","RÉPERTOIRE - Chef mécanicien, Mécanicien sénior","SOMAO07,SOMAO08",2,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,11,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645879&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645879&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,5,*,*, ,*,*,*,*,*,*,5,*,
54,2023-2024,1645914,DFO21J-015233-001547,21-DFO-CEN-IA-CCG-318832,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Commanding Officer,RÉPERTOIRE - Commandant,SOMAO06,1,0, ,0,0,1,1, , , , ,1,1, , , , ,1,1,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645914&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645914&toggleLanguage=fr,INT,INT,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,5,*,*, ,*,*,*,*,*,*,5,*,
55,2023-2024,1645934,DFO21J-015233-001548,21-DFO-CEN-IA-CCG-318838,09AUG2021,09AUG2021,31MAY2023,0,660,1,0,INVENTORY - Watchkeeping Engineer (2nd/3rd Engineer),"RÉPERTOIRE - Mécanicien de quart, (2e/3e mécanicien)",SOMAO04,1,0, ,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0, , , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,12,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645934&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1645934&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,8,8,*, ,*,*,*,*,*,*,8,*,
